# id;sud;brojPredmeta;tipKrivicnogDjela;clanKZ;iznos;ranijeOsudjivan;uslovnaOsuda;vrstaPresude;zaposlenost;bracniStatus;kaznaUMjesecima;novcanaKazna;obrazovanje;ukupanIznos;brojTransakcija;brojOkrivljenih;brojSvjedoka;brojDokaza;priznanje;pokusaj;saizvrsilastvo
33;Bijelo Polje;19/2013;zloupotreba platnih kartica;čl. 260 st. 2;50.0;ne;Da;uslovna;nepoznat;ozenjen;2.0;50.0;SSS;165.0;7;1;0;5;ne;ne;ne
34;Herceg Novi;204/2016;zloupotreba platnih kartica;čl. 260 st. 2;700.0;ne;Da;uslovna;nezaposlen;ozenjen;1.0;0.0;pismen;4465.3;18;1;2;10;ne;ne;ne
35;Kotor;204/19;zloupotreba platnih kartica;čl. 260 st. 2;415.0;nepoznat;Ne;osudjujuca;nepoznat;ozenjen;3.0;0.0;nepoznat;1184.0;10;5;0;14;ne;ne;da
36;Danilovgrad;20/24;zloupotreba platnih kartica;čl. 260 st. 2;30.0;nepoznat;Da;uslovna;zaposlen;ozenjen;3.0;0.0;SSS;30.0;1;1;0;12;ne;da;ne
37;Bijelo Polje;215/20;zloupotreba platnih kartica;čl. 260;782.12;ne;Ne;osudjujuca;nepoznat;ozenjen;2.0;0.0;SSS;1042.12;3;1;0;1;ne;ne;ne
38;Podgorica;223/18;falsifikovanje novca;čl. 258;500.0;ne;Ne;osudjujuca;nezaposlen;ozenjen;6.0;0.0;SSS;1383.0;6;1;0;24;ne;ne;ne
39;Berane;234/20;zloupotreba platnih kartica;čl. 260 st. 2;408.0;ne;Da;uslovna;nezaposlen;ozenjen;0.0;0.0;nepoznat;1233.0;8;1;0;2;ne;ne;ne
40;Kotor;23/2017;falsifikovanje novca;čl. 258 st. 2;200.0;da;Ne;oslobadjajuca;zaposlen;neozenjen;6.0;0.0;SSS;465.0;5;1;2;4;ne;ne;ne
41;Kotor;245/2019;zloupotreba platnih kartica;čl. 260 st. 2;300.0;ne;Ne;osudjujuca;nepoznat;ozenjen;6.0;0.0;pismen;660.0;6;1;2;1;ne;da;ne
42;Bar;255/21;zloupotreba platnih kartica;čl. 260 st. 2;430.0;nepoznat;Ne;osudjujuca;nepoznat;neozenjen;4.0;0.0;nepoznat;1555.0;9;1;0;10;ne;ne;ne
43;Kotor;261/18;zloupotreba platnih kartica;čl. 260 st. 2;310.0;ne;Da;uslovna;zaposlen;nepoznat;4.0;0.0;SSS;960.0;5;1;0;7;ne;da;ne
44;Bar;26/19;zloupotreba platnih kartica;čl. 260 st. 2;600.0;da;Ne;osudjujuca;zaposlen;neozenjen;6.0;0.0;nepoznat;1620.0;10;1;0;5;ne;ne;ne
45;Herceg Novi;26/20;falsifikovanje novca;čl. 258;700.0;ne;Ne;osudjujuca;zaposlen;neozenjen;6.0;0.0;nepoznat;790.0;4;1;0;0;ne;da;ne
46;Kotor;272/17;falsifikovanje novca;čl. 258 st. 2;200.0;nepoznat;Ne;osudjujuca;zaposlen;razveden;7.0;0.0;VSS;671.6800000000001;13;1;5;10;ne;ne;ne
47;Podgorica;277/22;zloupotreba platnih kartica;čl. 260 st. 2;300.0;ne;Da;uslovna;zaposlen;ozenjen;6.0;30.0;SSS;690.5;5;1;1;3;da;ne;ne
48;Podgorica;278/21;zloupotreba platnih kartica;čl. 260 st. 2;700.0;nepoznat;Da;uslovna;nepoznat;ozenjen;6.0;0.0;nepoznat;2096.39;10;2;0;4;ne;ne;ne
49;Cetinje;280/12;falsifikovanje novca;čl. 258;871.5;da;Ne;osudjujuca;student;ozenjen;3.0;0.0;nepoznat;1785.0;6;1;0;17;ne;ne;ne
50;Podgorica;281/14;zloupotreba platnih kartica;čl. 260 st. 2;255.26;ne;Ne;osudjujuca;zaposlen;neozenjen;4.0;0.0;pismen;560.26;4;1;0;2;ne;ne;ne
51;Nikšić;286/16;falsifikovanje novca;čl. 258 st. 2;200.5;ne;Ne;osudjujuca;nezaposlen;neozenjen;6.0;0.0;SSS;541.0;7;1;2;4;ne;ne;ne
52;Podgorica;2/13;zloupotreba platnih kartica;čl. 260 st. 2;2000.0;da;Ne;osudjujuca;nezaposlen;razveden;6.0;0.0;SSS;5268.47;10;1;0;1;ne;ne;ne
53;Bijelo Polje;314/09;falsifikovanje novca;čl. 258;984.0;ne;Ne;oslobadjajuca;nezaposlen;razveden;2.0;30.0;VSS;3787.729;24;1;5;8;ne;ne;ne
54;Kotor;314/2021;zloupotreba platnih kartica;čl. 260 st. 2;1640.0;da;Da;uslovna;student;neozenjen;3.0;55.0;SSS;4801.97;25;1;0;3;ne;ne;ne
55;Herceg Novi;31/11;zloupotreba platnih kartica;čl. 260 st. 2;700.0;nepoznat;Ne;osudjujuca;nepoznat;nepoznat;8.0;0.0;nepoznat;3611.3;10;2;0;1;ne;ne;ne
56;Nikšić;320/14;falsifikovanje novca;čl. 258;74.0;ne;Ne;osudjujuca;nezaposlen;ozenjen;0.0;0.0;SSS;148.0;3;1;0;4;ne;ne;ne
57;Kotor;328/2019;zloupotreba platnih kartica;čl. 260 st. 1;0.0;da;Ne;osudjujuca;nepoznat;neozenjen;6.0;0.0;SSS;0.0;0;1;1;5;ne;ne;ne
58;Ulcinj;32/12;falsifikovanje novca;čl. 258 st. 4;100.0;ne;Ne;oslobadjajuca;zaposlen;neozenjen;6.0;0.0;pismen;247.0;5;1;3;1;ne;ne;ne
59;Plav;32/13;falsifikovanje novca;čl. 258;500.0;ne;Ne;oslobadjajuca;zaposlen;ozenjen;12.0;0.0;VSS;1735.0;10;2;0;6;ne;ne;ne
60;Kotor;331/15;zloupotreba platnih kartica;čl. 260 st. 2;0.0;ne;Ne;osudjujuca;nepoznat;neozenjen;5.0;0.0;SSS;0.0;0;1;0;6;ne;ne;ne
61;Kotor;343/2020;zloupotreba platnih kartica;čl. 260 st. 3;840.0;ne;Ne;osudjujuca;zaposlen;ozenjen;3.0;0.0;VSS;3944.1;13;3;5;4;ne;ne;ne
